Data for 2024-03-17: 
stock,timestamp,open,high,low,close,volume
GOOGL,2024-03-22 12:18:00,150.2950,150.3000,150.1900,150.2300,33212
GOOGL,2024-03-22 12:19:00,150.2350,150.3300,150.2130,150.3300,29898
GOOGL,2024-03-22 12:20:00,150.3300,150.3450,150.2600,150.2800,23571
GOOGL,2024-03-22 12:21:00,150.2900,150.4200,150.2900,150.4200,32964
GOOGL,2024-03-22 12:22:00,150.4150,150.5900,150.4100,150.5700,50130
GOOGL,2024-03-22 12:23:00,150.5700,150.5700,150.4550,150.5050,61878
GOOGL,2024-03-22 12:24:00,150.5000,150.5350,150.4700,150.5300,51745
GOOGL,2024-03-22 12:25:00,150.5250,150.5350,150.4740,150.5200,27590
GOOGL,2024-03-22 12:26:00,150.5150,150.5600,150.5100,150.5100,25911
GOOGL,2024-03-22 12:27:00,150.5100,150.5100,150.4500,150.4800,15773
GOOGL,2024-03-22 12:28:00,150.4750,150.4850,150.4100,150.4760,19696
GOOGL,2024-03-22 12:29:00,150.4760,150.5000,150.4600,150.4700,22084
GOOGL,2024-03-22 12:30:00,150.4700,150.5250,150.4100,150.4160,42882
GOOGL,2024-03-22 12:31:00,150.4110,150.4500,150.3300,150.3800,35870
GOOGL,2024-03-22 12:32:00,150.3800,150.4300,150.3700,150.4000,19753
GOOGL,2024-03-22 12:33:00,150.4000,150.4000,150.3600,150.3900,18837
GOOGL,2024-03-22 12:34:00,150.3900,150.4000,150.2900,150.2900,23866
GOOGL,2024-03-22 12:35:00,150.2900,150.3560,150.2850,150.2880,20205
GOOGL,2024-03-22 12:36:00,150.2880,150.3200,150.2500,150.2550,42313
GOOGL,2024-03-22 12:37:00,150.2500,150.2650,150.2140,150.2550,39348
GOOGL,2024-03-22 12:38:00,150.2600,150.3450,150.2400,150.3300,17569
GOOGL,2024-03-22 12:39:00,150.3300,150.3500,150.3000,150.3500,16019
GOOGL,2024-03-22 12:40:00,150.3600,150.3900,150.3600,150.3700,17044
GOOGL,2024-03-22 12:41:00,150.3800,150.4300,150.3500,150.4300,19083
GOOGL,2024-03-22 12:42:00,150.4250,150.4250,150.3400,150.3400,17206
GOOGL,2024-03-22 12:43:00,150.3300,150.5100,150.3200,150.4700,45289
GOOGL,2024-03-22 12:44:00,150.4600,150.4750,150.4050,150.4500,29131
GOOGL,2024-03-22 12:45:00,150.4600,150.5500,150.4300,150.5400,28018
GOOGL,2024-03-22 12:46:00,150.5350,150.5600,150.5000,150.5000,35571
GOOGL,2024-03-22 12:47:00,150.5050,150.6150,150.5050,150.5700,30783
GOOGL,2024-03-22 12:48:00,150.5700,150.6050,150.5600,150.5760,31577
GOOGL,2024-03-22 12:49:00,150.5800,150.6200,150.5650,150.5750,24684
GOOGL,2024-03-22 12:50:00,150.5750,150.6050,150.5650,150.5700,27767
